agentId,type
2114,RED_HUNGRY
809,RED_HUNGRY
2000,RED_HUNGRY
1028,RED_HUNGRY
84,RED_HUNGRY
1882,RED_HUNGRY
1440,RED_HUNGRY
1331,RED_HUNGRY
956,RED_HUNGRY
1107,RED_HUNGRY
2746,RED_HUNGRY
1818,RED_HUNGRY
1659,RED_HUNGRY
1871,RED_HUNGRY
1524,RED_HUNGRY
185,RED_HUNGRY
1188,RED_HUNGRY
2643,RED_HUNGRY
1206,RED_HUNGRY
2880,RED_HUNGRY
13,RED_HUNGRY
2144,RED_HUNGRY
12,RED_HUNGRY
692,RED_HUNGRY
2796,RED_HUNGRY
979,RED_HUNGRY
2541,RED_HUNGRY
1966,RED_HUNGRY
81,RED_HUNGRY
2167,RED_HUNGRY
1502,ORANGE_HUNGRY
2049,ORANGE_HUNGRY
353,ORANGE_HUNGRY
2565,ORANGE_HUNGRY
1388,ORANGE_HUNGRY
1570,ORANGE_HUNGRY
2692,ORANGE_HUNGRY
347,ORANGE_HUNGRY
551,ORANGE_HUNGRY
554,ORANGE_HUNGRY
1906,ORANGE_HUNGRY
211,ORANGE_HUNGRY
1877,ORANGE_HUNGRY
1881,ORANGE_HUNGRY
1796,ORANGE_HUNGRY
810,ORANGE_HUNGRY
462,ORANGE_HUNGRY
1005,ORANGE_HUNGRY
1441,ORANGE_HUNGRY
2432,ORANGE_HUNGRY
1731,ORANGE_HUNGRY
844,ORANGE_HUNGRY
2303,ORANGE_HUNGRY
2102,ORANGE_HUNGRY
1590,ORANGE_HUNGRY
1466,ORANGE_HUNGRY
2258,ORANGE_HUNGRY
2770,ORANGE_HUNGRY
2903,ORANGE_HUNGRY
2257,ORANGE_HUNGRY
1924,YELLOW_HUNGRY
57,YELLOW_HUNGRY
1546,YELLOW_HUNGRY
1450,YELLOW_HUNGRY
2427,YELLOW_HUNGRY
225,YELLOW_HUNGRY
450,YELLOW_HUNGRY
1153,YELLOW_HUNGRY
1230,YELLOW_HUNGRY
539,YELLOW_HUNGRY
1815,YELLOW_HUNGRY
826,YELLOW_HUNGRY
1722,YELLOW_HUNGRY
2394,YELLOW_HUNGRY
14,YELLOW_HUNGRY
1621,YELLOW_HUNGRY
266,YELLOW_HUNGRY
1197,YELLOW_HUNGRY
1580,YELLOW_HUNGRY
50,YELLOW_HUNGRY
352,YELLOW_HUNGRY
1705,YELLOW_HUNGRY
518,YELLOW_HUNGRY
470,YELLOW_HUNGRY
422,YELLOW_HUNGRY
384,YELLOW_HUNGRY
1884,YELLOW_HUNGRY
2230,YELLOW_HUNGRY
1228,YELLOW_HUNGRY
1419,YELLOW_HUNGRY
1381,RED_WORK
1708,RED_WORK
2787,RED_WORK
2477,RED_WORK
1813,RED_WORK
2410,RED_WORK
2725,RED_WORK
2752,RED_WORK
2332,RED_WORK
2637,RED_WORK
827,ORANGE_WORK
964,ORANGE_WORK
26,ORANGE_WORK
1036,ORANGE_WORK
1643,ORANGE_WORK
2380,ORANGE_WORK
561,ORANGE_WORK
1895,ORANGE_WORK
1701,ORANGE_WORK
1940,ORANGE_WORK
1013,YELLOW_WORK
1249,YELLOW_WORK
677,YELLOW_WORK
1022,YELLOW_WORK
2667,YELLOW_WORK
193,YELLOW_WORK
1892,YELLOW_WORK
2712,YELLOW_WORK
1547,YELLOW_WORK
2627,YELLOW_WORK
2170,RED_SOCIAL
507,RED_SOCIAL
2139,RED_SOCIAL
2701,RED_SOCIAL
748,RED_SOCIAL
902,RED_SOCIAL
396,RED_SOCIAL
2273,RED_SOCIAL
780,RED_SOCIAL
1585,RED_SOCIAL
2234,ORANGE_SOCIAL
156,ORANGE_SOCIAL
795,ORANGE_SOCIAL
2454,ORANGE_SOCIAL
1745,ORANGE_SOCIAL
226,ORANGE_SOCIAL
1744,ORANGE_SOCIAL
2720,ORANGE_SOCIAL
2100,ORANGE_SOCIAL
2512,ORANGE_SOCIAL
2863,YELLOW_SOCIAL
430,YELLOW_SOCIAL
2217,YELLOW_SOCIAL
216,YELLOW_SOCIAL
738,YELLOW_SOCIAL
2223,YELLOW_SOCIAL
962,YELLOW_SOCIAL
947,YELLOW_SOCIAL
2608,YELLOW_SOCIAL
2614,YELLOW_SOCIAL
