UserId,TrajScore,TypeScore,AllScore
0,0.937825,0.9990495,0.96843725
1,0.78296036,0.9958207,0.8893905
2,0.83145684,0.9998555,0.9156562
3,0.95624626,0.997019,0.9766326
4,0.9016681,0.9996947,0.9506814
5,0.7976945,0.9654371,0.8815658
6,0.92947435,0.983549,0.9565117
7,0.9266573,0.9988704,0.96276385
8,0.9577229,0.99975574,0.9787393
9,0.90907896,0.89280325,0.90094113
10,0.907684,0.99952626,0.9536052
11,0.8714892,0.9924958,0.93199253
12,0.97140884,0.9995826,0.9854957
13,0.19439532,0.9974122,0.59590375
14,0.91364944,0.9997714,0.95671046
15,0.8998154,0.97807056,0.93894297
16,0.94263583,0.99443495,0.9685354
17,0.89937925,0.984653,0.9420161
18,0.72363865,0.98743093,0.8555348
19,0.7486585,0.9965363,0.8725974
20,0.87710005,0.99974394,0.93842196
21,0.92160344,0.99194896,0.9567762
22,0.82013214,0.9927205,0.9064263
23,0.7565864,0.99862266,0.8776045
24,0.8700155,0.9996731,0.9348443
25,0.9354255,0.9955575,0.96549153
26,0.780317,0.9992732,0.88979506
27,0.5806679,0.97967577,0.7801719
28,0.9304489,0.98140097,0.9559249
29,0.9350855,0.99927837,0.9671819
30,0.9947485,0.9995586,0.9971535
31,0.61657614,0.87159276,0.7440845
32,0.92618877,0.9997304,0.9629596
33,0.91977084,0.99936134,0.9595661
34,0.95323277,0.99823546,0.9757341
35,0.9440529,0.99970317,0.97187805
36,0.84715235,0.995517,0.9213347
37,0.9829279,0.99965364,0.9912908
38,0.9579945,0.9997612,0.9788779
39,0.69080275,0.9625727,0.8266877
40,0.7450339,0.9803648,0.8626994
41,0.7949285,0.9998677,0.8973981
42,0.7865519,0.999486,0.89301896
43,0.9421269,0.99984443,0.97098565
44,0.9309144,0.99767894,0.9642967
45,0.8497707,0.99876285,0.9242668
46,0.9477177,0.9995855,0.97365165
47,0.8953746,0.9995829,0.9474788
48,0.84821665,0.99885166,0.92353415
49,0.9342307,0.9993661,0.9667984
50,0.6088313,0.98672396,0.79777765
51,0.9746725,0.99945337,0.98706293
52,0.86933523,0.99702996,0.9331826
53,0.82464546,0.916767,0.8707062
54,0.9484881,0.9998088,0.97414845
55,0.5751235,0.9996329,0.7873782
56,0.9200832,0.99980044,0.95994186
57,0.7758063,0.9505835,0.86319494
58,0.9220138,0.99851763,0.96026576
59,0.77499604,0.99942476,0.88721037
60,0.9266467,0.997718,0.96218234
61,0.9123001,0.9995582,0.95592916
62,0.83073455,0.9992679,0.9150012
63,0.90766895,0.9978698,0.9527694
64,0.7996744,0.997941,0.8988077
65,0.839441,0.9995062,0.9194736
66,0.93830746,0.9998354,0.9690714
67,0.9439126,0.99847335,0.97119296
68,0.89846206,0.97630954,0.9373858
69,0.9624498,0.9801736,0.9713117
70,0.92497176,0.9642156,0.94459367
71,0.97623307,0.96308684,0.9696599
72,0.9234704,0.97706705,0.95026875
73,0.78200465,0.9839263,0.88296545
74,0.9822579,0.9994006,0.9908292
75,0.9826114,0.9996303,0.9911208
76,0.92244804,0.9898746,0.9561613
77,0.94843674,0.9995035,0.9739701
78,0.9216107,0.99943304,0.9605219
79,0.9083865,0.99831796,0.9533522
80,0.97887933,0.99929446,0.98908687
81,0.5611693,0.91721785,0.73919356
82,0.87857586,0.9994882,0.939032
83,0.92710066,0.9931687,0.9601347
84,0.9004436,0.9691566,0.93480015
85,0.94089305,0.9976064,0.9692497
86,0.9381968,0.99943316,0.96881497
87,0.91163886,0.9996827,0.9556608
88,0.83894265,0.9845446,0.91174364
89,0.94607663,0.9996578,0.97286725
90,0.8733276,0.9991602,0.9362439
91,0.532557,0.9884906,0.7605238
92,0.6544846,0.9645877,0.80953616
93,0.9799033,0.99988157,0.9898924
94,0.57016283,0.97642916,0.773296
95,0.49473637,0.15903759,0.32688698
96,0.84311557,0.9846356,0.9138756
97,0.7460912,0.9828883,0.86448973
98,0.9026011,0.99583226,0.9492167
99,0.93000567,0.99940896,0.9647073
100,0.8443009,0.99948865,0.9218948
101,0.9118079,0.9993393,0.95557356
102,0.9184935,0.99960816,0.95905083
103,0.81243336,0.99742496,0.90492916
104,0.9481109,0.99988806,0.9739995
105,0.9521272,0.99979764,0.9759624
106,0.92934376,0.9997817,0.9645628
107,0.8916384,0.9787858,0.93521214
108,0.79901165,0.9996837,0.89934766
109,0.9615104,0.9995183,0.98051435
110,0.8624406,0.99927694,0.93085873
111,0.786972,0.9997807,0.89337635
112,0.7797507,0.99920946,0.8894801
113,0.90079784,0.9995815,0.9501897
114,0.88876617,0.989784,0.9392751
115,0.78301436,0.97227144,0.87764287
116,0.98070717,0.9998871,0.99029714
117,0.98024577,0.9998995,0.9900726
118,0.93749666,0.9994591,0.96847785
119,0.17924939,0.18937789,0.18431364
120,0.9239319,0.98516756,0.95454973
121,0.87893,0.99904644,0.9389882
122,0.9371717,0.99948967,0.9683307
123,0.9291446,0.99944746,0.96429604
124,0.9486865,0.9994939,0.9740902
125,0.90281,0.99875087,0.9507804
126,0.98253995,0.99959487,0.9910674
127,0.9355246,0.99810135,0.96681297
128,0.8035154,0.9543271,0.8789213
129,0.6270062,0.1589059,0.39295602
130,0.9369266,0.99940425,0.9681654
131,0.9369412,0.9997878,0.9683645
132,0.7363768,0.99975497,0.8680659
133,0.86256087,0.99967384,0.93111736
134,0.87856704,0.9984781,0.9385226
135,0.9339684,0.999837,0.96690273
136,0.92925483,0.99449337,0.9618741
137,0.84616786,0.9997326,0.92295027
138,0.9212061,0.9994882,0.9603472
139,0.89012456,0.9851747,0.9376496
140,0.79814655,0.99860114,0.89837384
141,0.93031824,0.9870509,0.95868456
142,0.8731068,0.9961855,0.9346461
143,0.9194768,0.98390293,0.95168984
144,0.9217842,0.98561686,0.95370054
145,0.9604337,0.9998608,0.98014724
146,0.8501361,0.99587226,0.92300415
147,0.40641654,0.15581448,0.2811155
148,0.8585203,0.99855506,0.9285377
149,0.8747093,0.99924827,0.9369788
150,0.94096786,0.99924934,0.9701086
151,0.99000037,0.9983441,0.9941722
152,0.9428189,0.99943733,0.9711281
153,0.86210066,0.99987143,0.93098605
154,0.89434487,0.98725814,0.9408015
155,0.93134147,0.99975634,0.9655489
156,0.9230464,0.99986553,0.96145594
157,0.9484074,0.9984368,0.9734221
158,0.8644842,0.9992352,0.93185973
159,0.8602363,0.98811543,0.92417586
160,0.7327798,0.9981176,0.8654487
161,0.9832521,0.9995468,0.99139947
162,0.7617323,0.9986637,0.880198
163,0.85074455,0.99879485,0.9247697
164,0.7772489,0.95008284,0.8636659
165,0.6371197,0.9931296,0.81512463
166,0.9757199,0.9994908,0.98760533
167,0.9820945,0.9994199,0.9907572
168,0.84461623,0.99902105,0.9218186
169,0.8302599,0.9995305,0.9148952
170,0.74469036,0.98709095,0.8658906
171,0.94741184,0.98916453,0.9682882
172,0.9751808,0.999826,0.9875034
173,0.4272874,0.9852312,0.7062593
174,0.9216974,0.99960744,0.9606524
175,0.9063623,0.99969405,0.9530282
176,0.91104335,0.9848622,0.94795275
177,0.92298967,0.99582434,0.959407
178,0.6576361,0.99960977,0.82862294
179,0.9272887,0.998346,0.9628173
180,0.70355874,0.97665226,0.84010553
181,0.72702914,0.9988532,0.86294115
182,0.57521915,0.98350084,0.77936
183,0.98277444,0.99965984,0.99121714
184,0.9759307,0.9996675,0.9877991
185,0.9554234,0.9995284,0.9774759
186,0.82041144,0.9994464,0.9099289
187,0.9321359,0.99651176,0.9643238
188,0.65514785,0.39033782,0.52274287
189,0.95874476,0.99705076,0.97789776
190,0.9482157,0.9971753,0.97269547
191,0.7853286,0.99916446,0.89224654
192,0.66774803,0.9733402,0.8205441
193,0.97704947,0.9662353,0.9716424
194,0.919614,0.99190074,0.9557574
195,0.593554,0.9290417,0.7612978
196,0.991019,0.999541,0.99528
197,0.7923818,0.99921006,0.89579594
198,0.8333325,0.93097734,0.88215494
199,0.98265094,0.9996129,0.9911319
200,0.89308506,0.99870086,0.94589293
201,0.5697681,0.9945026,0.78213537
202,0.98652995,0.9996182,0.99307406
203,0.86657923,0.9863012,0.92644024
204,0.8870084,0.9783221,0.9326652
205,0.8016998,0.9854279,0.89356387
206,0.56731576,0.9996544,0.78348505
207,0.8482363,0.99917144,0.9237039
208,0.937918,0.9992589,0.9685885
209,0.804901,0.9996277,0.90226436
210,0.92745936,0.99959123,0.9635253
211,0.3340175,0.54523915,0.4396283
212,0.8174082,0.9840375,0.90072286
213,0.87781596,0.9993032,0.9385596
214,0.8926082,0.976488,0.93454814
215,0.9558048,0.99891245,0.97735864
216,0.87588847,0.9994674,0.9376779
217,0.966631,0.99809265,0.9823618
218,0.97229195,0.99983054,0.9860612
219,0.8817225,0.99947214,0.9405973
220,0.9538313,0.99940395,0.97661763
221,0.8801138,0.9999509,0.94003236
222,0.8844899,0.99879104,0.9416405
223,0.94549453,0.99944896,0.9724717
224,0.6919007,0.9764131,0.8341569
225,0.21832788,0.35593054,0.28712922
226,0.98341674,0.9997852,0.991601
227,0.7246099,0.9208062,0.8227081
228,0.8867184,0.9919524,0.9393354
229,0.9461534,0.99640036,0.9712769
230,0.9820183,0.9990781,0.9905482
231,0.92103934,0.99754244,0.95929086
232,0.53451794,0.9478156,0.7411668
233,0.9287054,0.98375,0.95622766
234,0.85262465,0.9803441,0.91648436
235,0.9311431,0.9998848,0.96551394
236,0.8886867,0.99207187,0.94037926
237,0.89622486,0.9796012,0.93791306
238,0.98536783,0.9989491,0.9921585
239,0.8721362,0.9997339,0.935935
240,0.9767295,0.9998906,0.9883101
241,0.94679517,0.9983707,0.97258294
242,0.88097245,0.9975715,0.939272
243,0.90092385,0.99883866,0.94988126
244,0.8760172,0.9997774,0.9378973
245,0.9355646,0.9996082,0.9675864
246,0.93250334,0.9833541,0.9579287
247,0.92020524,0.9996074,0.95990634
248,0.86999166,0.99845755,0.9342246
249,0.98139864,0.99946046,0.9904295
250,0.8219298,0.99892974,0.9104298
251,0.94736767,0.9998103,0.97358894
252,0.96376085,0.9997187,0.98173976
253,0.9333854,0.99088013,0.96213275
254,0.87628734,0.9868245,0.9315559
255,0.9454193,0.98313916,0.96427923
256,0.9493714,0.99781626,0.97359383
257,0.85793126,0.9987882,0.92835975
258,0.8259562,0.9984211,0.91218865
259,0.7646677,0.9970319,0.88084984
260,0.9478522,0.99977016,0.97381115
261,0.8665107,0.9995057,0.9330082
262,0.94068193,0.9968165,0.9687492
263,0.8581364,0.9998287,0.92898256
264,0.8341037,0.9995078,0.91680574
265,0.8947916,0.9989322,0.94686186
266,0.5081366,0.9460169,0.72707677
267,0.94960845,0.99896413,0.9742863
268,0.81429964,0.9988352,0.90656745
269,0.89627796,0.999343,0.9478105
270,0.70205903,0.9571977,0.82962835
271,0.85952747,0.9996736,0.92960054
272,0.9465865,0.9994198,0.97300315
273,0.8956778,0.99134094,0.94350934
274,0.7769758,0.9821174,0.87954664
275,0.9027043,0.9984572,0.9505807
276,0.91787875,0.999012,0.95844537
