UserId,TrajScore,TypeScore,AllScore
0,0.9147206,0.9014368,0.9080787
1,0.60114086,0.55533457,0.5782377
2,0.89969313,0.8953918,0.8975425
3,0.98261964,0.96766543,0.97514254
4,0.8452405,0.87742823,0.8613343
5,0.70764095,0.67681056,0.69222575
7,0.7834665,0.7739322,0.7786994
8,0.5312802,0.47844917,0.5048647
9,0.7824638,0.7098168,0.7461403
10,0.9247891,0.9249579,0.9248735
12,0.8222756,0.76395667,0.7931161
13,0.52003807,0.5432732,0.53165567
14,0.8684351,0.88465536,0.8765452
15,0.6273117,0.5843356,0.60582364
16,0.68211627,0.6458158,0.66396606
17,0.84384286,0.9056672,0.874755
18,0.68692195,0.6096791,0.6483005
22,0.7219997,0.8166762,0.76933795
23,0.69213706,0.55582446,0.62398076
24,0.89515877,0.9007713,0.8979651
25,0.9271163,0.8867557,0.906936
26,0.7271825,0.66288185,0.6950322
28,0.7720382,0.746216,0.75912714
30,0.9478603,0.9558098,0.95183504
34,0.89511335,0.89970267,0.897408
35,0.7760848,0.72567576,0.75088024
36,0.8824045,0.7561516,0.81927806
37,0.9030259,0.91809875,0.91056234
38,0.8218159,0.6987666,0.7602912
39,0.9010164,0.9010321,0.9010242
40,0.291416,0.18599626,0.23870613
41,0.9633851,0.96530396,0.9643445
42,0.87293553,0.79509073,0.8340131
43,0.651592,0.59631693,0.6239545
44,0.6799257,0.63298774,0.6564567
50,0.57716084,0.5768202,0.5769905
51,0.65526646,0.53349245,0.5943794
52,0.9153212,0.8994912,0.9074062
62,0.8301178,0.80442864,0.81727326
65,0.5579969,0.5427093,0.5503531
66,0.45398802,0.24300283,0.34849542
67,0.9286081,0.89218605,0.91039705
68,0.92601466,0.8768728,0.9014437
71,0.64017546,0.60566723,0.62292135
82,0.78251326,0.7615339,0.77202356
84,0.9100819,0.7491149,0.8295984
85,0.8978693,0.85732716,0.8775982
92,0.75336486,0.72434384,0.73885435
96,0.53102,0.5406785,0.5358492
101,0.7085908,0.71402746,0.71130913
104,0.82424694,0.8637495,0.8439982
111,0.6579257,0.6857659,0.6718458
112,0.6282655,0.6373088,0.6327871
119,0.55592453,0.49817067,0.52704763
122,0.2792142,0.24426457,0.26173937
125,0.6010621,0.57744354,0.5892528
126,0.93617606,0.9168918,0.92653394
128,0.9251099,0.8948965,0.9100032
131,0.33598977,0.33767217,0.33683097
140,0.9452602,0.90904284,0.92715156
142,0.8867445,0.8125151,0.84962976
144,0.780032,0.81818426,0.79910815
155,0.6872253,0.6493586,0.6682919
167,0.86090446,0.8786805,0.86979246
168,0.6437334,0.5711462,0.60743976
174,0.76480174,0.7681367,0.76646924
179,0.7502118,0.6474987,0.6988553
