UserId,TrajScore,TypeScore,AllScore
0,0.8562613,0.9977778,0.9270196
1,0.80434304,0.9990119,0.9016775
2,0.90515155,0.9965768,0.9508642
3,0.96240973,0.9932209,0.97781533
4,0.83263385,0.99905705,0.91584545
5,0.872099,0.9984477,0.93527335
6,0.81195,0.9978014,0.90487576
7,0.9081908,0.9988062,0.9534985
8,0.98079354,0.99425906,0.9875263
9,0.9213197,0.9954255,0.9583726
10,0.88232887,0.9991589,0.9407439
11,0.9038664,0.9990131,0.95143974
12,0.9234284,0.9992009,0.9613147
14,0.8398476,0.99913627,0.91949195
15,0.9693752,0.9964043,0.9828898
16,0.85939837,0.9972091,0.9283037
17,0.8346509,0.9972345,0.91594267
18,0.91867054,0.9998229,0.95924675
19,0.8189946,0.99910796,0.9090513
20,0.8296303,0.99986774,0.914749
21,0.96220934,0.99309826,0.9776538
22,0.76984733,0.9972926,0.88356996
23,0.89706564,0.99487025,0.9459679
24,0.86402184,0.9990769,0.9315494
25,0.95185137,0.99984384,0.9758476
26,0.86912185,0.99870265,0.9339123
27,0.6496443,0.99982005,0.8247322
28,0.92272687,0.9667171,0.944722
29,0.8886012,0.99935293,0.94397706
30,0.9783537,0.99942595,0.9888898
31,0.9145253,0.9989503,0.95673776
32,0.8647618,0.99919283,0.93197733
33,0.78463626,0.99931175,0.891974
34,0.9104228,0.99912244,0.9547726
35,0.7849797,0.999767,0.8923733
36,0.85696065,0.9980639,0.9275123
37,0.93018734,0.9936655,0.96192646
38,0.9437779,0.9929538,0.96836585
39,0.89674807,0.9984788,0.9476134
40,0.92083156,0.99933386,0.9600827
41,0.74413836,0.99965644,0.8718974
42,0.91744906,0.9991599,0.95830446
43,0.88961935,0.9992446,0.94443196
45,0.81133384,0.9178882,0.864611
46,0.8875462,0.98811793,0.93783206
47,0.748913,0.99365854,0.8712858
48,0.9591056,0.9992385,0.97917205
49,0.9211297,0.99891484,0.9600223
50,0.9266835,0.9992469,0.9629652
51,0.7538673,0.99928015,0.87657374
52,0.8605758,0.9948579,0.92771685
53,0.8818732,0.9987121,0.94029266
54,0.64719886,0.9990647,0.8231318
55,0.892784,0.9986415,0.94571275
56,0.93872184,0.99290895,0.9658154
57,0.6286997,0.9992749,0.8139873
58,0.82686794,0.9993839,0.91312593
59,0.8544613,0.99926174,0.9268615
60,0.8621035,0.9772003,0.9196519
62,0.9116483,0.99859583,0.95512205
63,0.81292033,0.99817914,0.90554976
64,0.788619,0.9994747,0.89404684
65,0.6456894,0.99973935,0.8227144
66,0.88261974,0.99897754,0.94079864
67,0.9428032,0.99929744,0.9710503
68,0.81502944,0.9982439,0.9066367
69,0.9010165,0.9965412,0.94877887
70,0.7652232,0.9998697,0.8825464
71,0.875931,0.9933678,0.9346494
72,0.5766338,0.99730605,0.7869699
73,0.94707423,0.99886394,0.97296906
74,0.95164806,0.99918276,0.9754154
75,0.7177878,0.9990812,0.8584345
76,0.9501737,0.99919116,0.97468245
77,0.90190035,0.99920714,0.9505538
78,0.770327,0.99959326,0.8849601
79,0.9578552,0.9992837,0.97856945
80,0.88104594,0.9972623,0.93915415
81,0.92622566,0.9924366,0.95933115
82,0.8177046,0.998225,0.9079648
83,0.87605226,0.981219,0.9286356
84,0.47180375,0.99981904,0.7358114
85,0.93199587,0.9994067,0.9657013
86,0.83029085,0.97870666,0.90449876
87,0.96602553,0.9950273,0.98052645
88,0.8435476,0.9990731,0.9213103
89,0.7025022,0.9996882,0.8510952
90,0.8298013,0.9642596,0.8970305
91,0.7970235,0.99872446,0.897874
92,0.84709144,0.99939555,0.9232435
93,0.9299295,0.99915427,0.9645419
94,0.85771626,0.9990161,0.9283662
95,0.8186346,0.999112,0.9088733
96,0.9574299,0.9994178,0.97842383
97,0.7261329,0.98922694,0.85767996
98,0.90267336,0.9944923,0.9485828
99,0.7735503,0.999378,0.8864641
100,0.9175191,0.9991396,0.9583293
101,0.75346625,0.99936277,0.87641454
102,0.8234101,0.9980946,0.91075236
103,0.84924716,0.9993644,0.9243058
104,0.94816816,0.99884224,0.9735052
105,0.82213885,0.99529463,0.90871674
106,0.5587429,0.9993242,0.77903354
107,0.9681364,0.99942696,0.9837817
108,0.9523278,0.9993274,0.9758276
109,0.89841944,0.99988097,0.9491502
110,0.88902557,0.9945881,0.9418068
111,0.9428503,0.9984419,0.9706461
112,0.89424425,0.9896636,0.9419539
113,0.7976276,0.9998666,0.8987471
114,0.8552508,0.99927866,0.9272647
115,0.8798139,0.99940974,0.9396118
116,0.97963715,0.99510497,0.9873711
117,0.8066261,0.9970668,0.9018464
118,0.69937557,0.9997651,0.84957033
119,0.8406232,0.9940807,0.91735196
120,0.9358196,0.9789331,0.95737636
121,0.90729284,0.9988922,0.9530925
122,0.96642065,0.997607,0.9820138
123,0.93007433,0.9997017,0.964888
124,0.7826989,0.9990033,0.89085114
125,0.91426814,0.99920344,0.9567358
126,0.7542705,0.9970799,0.8756752
127,0.9092248,0.9903671,0.94979596
128,0.82481265,0.9976709,0.91124177
129,0.78346324,0.99875605,0.89110965
130,0.80551285,0.99884284,0.9021778
131,0.934361,0.99931717,0.9668391
133,0.92605007,0.9431612,0.9346056
135,0.85559005,0.99239045,0.92399025
136,0.9561673,0.98021555,0.9681914
138,0.92804354,0.99729466,0.96266913
139,0.92711097,0.9987608,0.9629359
140,0.9601634,0.997865,0.9790142
141,0.768592,0.99915457,0.8838733
142,0.9287844,0.99945694,0.9641206
143,0.9603407,0.99937123,0.97985595
144,0.73343676,0.9929984,0.8632176
145,0.7920256,0.99688596,0.8944558
146,0.9836458,0.9993665,0.99150616
147,0.6864005,0.8552064,0.77080345
148,0.8427736,0.99909717,0.9209354
149,0.8373371,0.9993713,0.91835415
150,0.87366366,0.99885035,0.936257
152,0.9268186,0.9998353,0.96332693
