type,agentId
RED_KF,3484
ORANGE_KF,4945
YELLOW_KF,4467
RED_KF,2781
ORANGE_KF,5607
YELLOW_KF,338
RED_KF,8337
ORANGE_KF,4809
YELLOW_KF,1186
RED_KF,8124
ORANGE_KF,8991
YELLOW_KF,3869
RED_KF,4266
ORANGE_KF,7432
YELLOW_KF,8587
RED_KF,7102
ORANGE_KF,9945
YELLOW_KF,2732
RED_KF,5050
ORANGE_KF,938
YELLOW_KF,9393
RED_KF,4440
ORANGE_KF,2848
YELLOW_KF,9843
RED_KF,8917
ORANGE_KF,758
YELLOW_KF,4928
RED_KF,569
ORANGE_KF,3682
YELLOW_KF,2127
RED_K,7055
ORANGE_K,4101
YELLOW_K,5446
RED_K,459
ORANGE_K,2419
YELLOW_K,7269
RED_K,5397
ORANGE_K,3465
YELLOW_K,5481
RED_K,861
ORANGE_K,4884
YELLOW_K,3493
RED_K,4977
ORANGE_K,1026
YELLOW_K,2759
RED_K,3962
ORANGE_K,3700
YELLOW_K,844
RED_K,9079
ORANGE_K,1399
YELLOW_K,9256
RED_K,4013
ORANGE_K,5680
YELLOW_K,3639
RED_K,7613
ORANGE_K,6231
YELLOW_K,5352
RED_K,3501
ORANGE_K,3801
YELLOW_K,2903
RED_F,3720
ORANGE_F,3341
YELLOW_F,3816
RED_F,2100
ORANGE_F,6146
YELLOW_F,4610
RED_F,9011
ORANGE_F,6596
YELLOW_F,7522
RED_F,3543
ORANGE_F,1649
YELLOW_F,125
RED_F,1743
ORANGE_F,3258
YELLOW_F,944
RED_F,6539
ORANGE_F,6184
YELLOW_F,6954
RED_F,5174
ORANGE_F,3268
YELLOW_F,7396
RED_F,5039
ORANGE_F,1487
YELLOW_F,304
RED_F,2526
ORANGE_F,9976
YELLOW_F,4915
RED_F,7173
ORANGE_F,755
YELLOW_F,9235
